arxiv_id,date,category,title,authors,why_relevant,url
2201.06124,2022-01-16,math.AG,The prismatization of $p$-adic formal schemes,Bhargav Bhatt; Jacob Lurie,Bhatt-Lurie WCart/Cartier-Witt stack — the literal candidate substrate for M4 signature,https://arxiv.org/abs/2201.06124
2201.06120,2022-01-16,math.AG,Absolute prismatic cohomology,Bhargav Bhatt; Jacob Lurie,"Bhatt-Lurie absolute prismatic cohomology defining Frobenius on WCart, foundational to Architecture 2",https://arxiv.org/abs/2201.06120
2211.08470,2022-11-15,math.NT,v-vector bundles on $p$-adic fields and Sen theory via the Hodge-Tate stack,Johannes Anschütz; Ben Heuer; Arthur-César Le Bras,Realizes Sen theory via vector bundles on Hodge-Tate locus of Cartier-Witt stack directly,https://arxiv.org/abs/2211.08470
2201.10136,2022-01-25,math.NT,Hodge-Tate prismatic crystals and Sen theory,Hui Gao,"Hodge-Tate prismatic crystals classified by nilpotent Sen operator, core WCart structure",https://arxiv.org/abs/2201.10136
2302.11389,2023-02-22,math.AG,Non-decomposability of the de Rham complex and non-semisimplicity of the Sen operator,Alexander Petrov,Non-semisimplicity of Sen operator constrains eigenvalue/positivity structure needed for signature,https://arxiv.org/abs/2302.11389
2503.14099,2025-03-18,math.AG,A local version of the arithmetic Hodge index theorem over quasiprojective varieties,Marc Abboud,Local arithmetic Hodge index theorem — direct analogue of needed intersection positivity,https://arxiv.org/abs/2503.14099
2207.02033,2022-07-05,math.AG,Hilbert-Samuel formula and positivity over adelic curves,Huayi Chen; Atsushi Moriwaki,"Arithmetic Hilbert-Samuel and positivity of adelic line bundles, Arakelov positivity toolkit",https://arxiv.org/abs/2207.02033
2206.14232,2022-06-28,math.AG,The arithmetic volume of hypersurfaces in toric varieties and Mahler measures,Mounir Hajli,"Generalized Hodge index theorem for arithmetic toric hypersurfaces, model positivity result",https://arxiv.org/abs/2206.14232
2202.09397,2022-02-18,math.AG,The theta invariants and the volume function on arithmetic varieties,Mounir Hajli,Theta invariants and generalized Hodge index theorem on arithmetic varieties,https://arxiv.org/abs/2202.09397
2206.14242,2022-06-28,math.AG,Quasi-projective and formal-analytic arithmetic surfaces,Jean-Benoît Bost; François Charles,"Bost-Charles formal-analytic arithmetic surfaces, Arakelov framework for Spec(Z)xSpec(Z)-type surfaces",https://arxiv.org/abs/2206.14242
2512.01811,2025-12-01,math.NT,Numerical cohomology for arithmetic surfaces and applications,Wei He,Numerical cohomology and absolute arithmetic Riemann-Roch for arithmetic surfaces,https://arxiv.org/abs/2512.01811
2606.06604,2026-06-04,math.AG,On the Absolute Geometry of $\operatorname{Spec}\mathbf{Z}$,Alain Connes; Caterina Consani,"Connes-Consani absolute F1 arithmetic site/square, exact competing substrate for signature",https://arxiv.org/abs/2606.06604
2511.22755,2025-11-27,math.NT,Zeta Spectral Triples,Alain Connes; Caterina Consani; Henri Moscovici,Connes-Consani-Moscovici spectral realization strategy directly targeting RH proof,https://arxiv.org/abs/2511.22755
2205.01391,2022-05-03,math.AG,Riemann-Roch for $\overline{\text{Spec}\mathbb Z}$,Alain Connes; Caterina Consani,"Connes-Consani Riemann-Roch on Arakelov Spec(Z), cohomology/duality needed for signature",https://arxiv.org/abs/2205.01391
2401.08401,2024-01-16,math.NT,"Knots, Primes and the adele class space",Alain Connes; Caterina Consani,"Connes-Consani adele class space dynamical system, Deninger-style foliated flow analogue",https://arxiv.org/abs/2401.08401
2207.10419,2022-07-21,math.NT,"Hochschild homology, trace map and $ζ$-cycles",Alain Connes; Caterina Consani,Connes-Consani spectral realization of zeta zeros via Hochschild homology/sheaf cohomology,https://arxiv.org/abs/2207.10419
2106.01715,2021-06-03,math.NT,Spectral Triples and Zeta-Cycles,Alain Connes; Caterina Consani,"Connes-Consani zeta-cycles/spectral triples, explicit-formula quadratic form eigenvalue positivity",https://arxiv.org/abs/2106.01715
