arxiv_id,date,thread,thread_name,category,flagged_math_GM,published_journal_ref,title,authors,url
2606.29294,2026-06-28,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,"Quantum models of the Riemann zeta function, lattice spin models and algebraic models of entanglement",Nikolaj M. Glazunov,https://arxiv.org/abs/2606.29294
2606.24405,2026-06-23,A,Spectral / Hilbert–Pólya / operator,math-ph,False,,On the Berry-Keating Operator,Fabio Bagarello; Sergiusz Kużel,https://arxiv.org/abs/2606.24405
2606.13932,2026-06-11,A,Spectral / Hilbert–Pólya / operator,math-ph,False,Mod. Phys. Lett. A 41(2026)2650075,Krein Space Quantization and a Spectral Interpretation of the Riemann $ξ$-Function,M. V. Takook,https://arxiv.org/abs/2606.13932
2605.30386,2026-05-28,A,Spectral / Hilbert–Pólya / operator,physics.gen-ph,False,,The Saddle Point of Everything,K. Sravan Kumar,https://arxiv.org/abs/2605.30386
2605.22059,2026-05-21,A,Spectral / Hilbert–Pólya / operator,math.GT,False,,Closed geodesics in short intervals for random hyperbolic surfaces,Zeev Rudnick,https://arxiv.org/abs/2605.22059
2605.17296,2026-05-17,A,Spectral / Hilbert–Pólya / operator,math.PR,False,,Zero correlations and averaged fields of orthonormal Gaussian functions,Luís Daniel Abreu; Tomoyuki Shirai,https://arxiv.org/abs/2605.17296
2605.20224,2026-05-13,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,High-Precision Approximation of Riemann Zeros via the Truncated Weil Form,Akiva Groskin,https://arxiv.org/abs/2605.20224
2604.14596,2026-04-16,A,Spectral / Hilbert–Pólya / operator,math.GM,True,,"Prime--Zero Duality: Fractal Geometry, Renormalization-Group Flow, and an Information-Ontological Framework for Number Theory",Zhengqiang Li,https://arxiv.org/abs/2604.14596
2604.12207,2026-04-14,A,Spectral / Hilbert–Pólya / operator,hep-th,False,,Decaying Turbulence and the Riemann Hypothesis: The number theory behind the infinite-time singularity,Alexander Migdal,https://arxiv.org/abs/2604.12207
2603.26507,2026-03-27,A,Spectral / Hilbert–Pólya / operator,math.CV,False,,Integral Means Spectrum for the Random Riemann Zeta Function,Bertrand Duplantier; Véronique Gayrard; Eero Saksman,https://arxiv.org/abs/2603.26507
2603.09719,2026-03-10,A,Spectral / Hilbert–Pólya / operator,math.GM,True,,"On the Critical Line Re(s) = 1/2, the Irrationality Measure of π, and the Automorphic Structure of the Flint Hills Series",Carlos Lopez Zapata,https://arxiv.org/abs/2603.09719
2602.04022,2026-02-03,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,"The Riemann Hypothesis: Past, Present and a Letter Through Time",Alain Connes,https://arxiv.org/abs/2602.04022
2511.11199,2025-11-14,A,Spectral / Hilbert–Pólya / operator,quant-ph,False,,The Riemann Hypothesis Emerges in Dynamical Quantum Phase Transitions,ShiJie Wei; Yue Zhai; Quanfeng Lu; Wentao Yang; Pan Gao; Chao Wei; Junda Song; Franco Nori,https://arxiv.org/abs/2511.11199
2511.06513,2025-11-09,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,On the Ruelle-Mayer Transfer Operators for Hölder Continuous Functions,Alexander Baumgartner,https://arxiv.org/abs/2511.06513
2510.16759,2025-10-19,A,Spectral / Hilbert–Pólya / operator,quant-ph,False,,Successive generation of nontrivial Riemann zeros from a Wu-Sprung type potential,Peter Jaksch,https://arxiv.org/abs/2510.16759
2510.05500,2025-10-07,A,Spectral / Hilbert–Pólya / operator,math.AG,False,,"Fiberwise Gromov-Witten theory, quantum spectra of flag bundles, and prime factorization of integers",Giordano Cotti,https://arxiv.org/abs/2510.05500
2509.21672,2025-09-25,A,Spectral / Hilbert–Pólya / operator,hep-th,False,,An $L$-function Approach to Two-Dimensional Conformal Field Theory,Eric Perlmutter,https://arxiv.org/abs/2509.21672
2508.13882,2025-08-19,A,Spectral / Hilbert–Pólya / operator,math.DS,False,,Standard conjecture D and some conjectures around Weil's Riemann hypothesis,Tuyen Trung Truong,https://arxiv.org/abs/2508.13882
2505.21192,2025-05-27,A,Spectral / Hilbert–Pólya / operator,quant-ph,False,"journal = {Phys. Rev. A},year={2025}, volume = {112},issue = {6}, pages = {L060201}",Hamiltonian with Energy Levels Corresponding to Riemann Zeros,Xingpao Suo,https://arxiv.org/abs/2505.21192
2505.18314,2025-05-23,A,Spectral / Hilbert–Pólya / operator,hep-th,False,,Properties of scalar partition functions of 2d CFTs,Nathan Benjamin; Cyuan-Han Chang; A. Liam Fitzpatrick; Tobi Ramella,https://arxiv.org/abs/2505.18314
