thread,thread_name,arxiv_id,date,title,authors,published,why,url
A,Spectral / Hilbert–Pólya / operator,2602.04022,2026-02-03,"The Riemann Hypothesis: Past, Present and a Letter Through Time",Alain Connes,,Connes' major survey of RH history plus new spectral/operator perspective from a leading researcher.,https://arxiv.org/abs/2602.04022
A,Spectral / Hilbert–Pólya / operator,2112.05500,2021-12-10,Prolate spheroidal operator and Zeta,Alain Connes; Henri Moscovici,,Connes-Moscovici uncover new spectral property of prolate spheroidal operator tied to zeta.,https://arxiv.org/abs/2112.05500
A,Spectral / Hilbert–Pólya / operator,2106.01715,2021-06-03,Spectral Triples and Zeta-Cycles,Alain Connes; Caterina Consani,,Connes-Consani exhibit eigenvalues of Weil explicit-formula quadratic form via zeta-cycles.,https://arxiv.org/abs/2106.01715
A,Spectral / Hilbert–Pólya / operator,2402.13082,2024-02-20,Heat Expansion and Zeta,Alain Connes,,Connes computes full heat-kernel trace expansion for the conjectural RH self-adjoint operator.,https://arxiv.org/abs/2402.13082
A,Spectral / Hilbert–Pólya / operator,2501.06560,2025-01-11,"Knots, primes and class field theory",Alain Connes; Caterina Consani,,Connes-Consani extend adelic/class field theory framework underlying spectral realization of L-function zeros.,https://arxiv.org/abs/2501.06560
A,Spectral / Hilbert–Pólya / operator,2109.10844,2021-09-22,Hilbert spaces and low-lying zeros of L-functions,Emanuel Carneiro; Andrés Chirre; Micah B. Milinovich,,"Carneiro-Chirre-Milinovich unify Fourier optimization for low-lying zero density, rigorous analytic number theory.",https://arxiv.org/abs/2109.10844
A,Spectral / Hilbert–Pólya / operator,2511.06513,2025-11-09,On the Ruelle-Mayer Transfer Operators for Hölder Continuous Functions,Alexander Baumgartner,,Baumgartner extends Ruelle-Mayer transfer operator spectral theory linked to Maass forms and zeta zeros.,https://arxiv.org/abs/2511.06513
A,Spectral / Hilbert–Pólya / operator,2606.24405,2026-06-23,On the Berry-Keating Operator,Fabio Bagarello; Sergiusz Kużel,,Careful review clarifying rigorous status of the Berry-Keating operator's connection to RH.,https://arxiv.org/abs/2606.24405
A,Spectral / Hilbert–Pólya / operator,2605.20224,2026-05-13,High-Precision Approximation of Riemann Zeros via the Truncated Weil Form,Akiva Groskin,,Numerical study testing convergence of Connes-van Suijlekom truncated Weil form zeros to Riemann zeros.,https://arxiv.org/abs/2605.20224
B,Random matrix theory & moments,2503.21682,2025-03-27,Twisted moments of characteristic polynomials of random matrices in the unitary group,Siegfred Baluyot; Brian Conrey,,"Baluyot–Conrey give a rigorous random matrix analogue of the Keating–Conrey moment recipe, a major structural advance.",https://arxiv.org/abs/2503.21682
B,Random matrix theory & moments,2206.04821,2022-06-10,Moments of zeta and correlations of divisor-sums: stratification and Vandermonde integrals,Siegfred Baluyot; Brian Conrey,,Introduces Vandermonde/Rodgers–Soundararajan-style integral expression underpinning the moment conjectures program.,https://arxiv.org/abs/2206.04821
B,Random matrix theory & moments,2407.19233,2024-07-27,Exchangeable arrays and integrable systems for characteristic polynomials of random matrices,Theodoros Assiotis; Mustafa Alper Gunes; Jonathan P. Keating; Fei Wei,,"Fully settles moments of derivatives/real characteristic polynomials via exchangeable arrays, resolving a 25-year problem.",https://arxiv.org/abs/2407.19233
B,Random matrix theory & moments,2302.07226,2023-02-14,Negative moments of the Riemann zeta-function,Hung M. Bui; Alexandra Florea,,"Bui–Florea establish negative moments of zeta, a genuinely new and technically hard direction under RH.",https://arxiv.org/abs/2302.07226
B,Random matrix theory & moments,2403.00902,2024-03-01,Sharp bounds for joint moments of the Riemann zeta function,Michael J. Curran; André Heycock,,"Curran–Heycock extend sharp joint moment bounds unconditionally across the full conjectured range, key benchmark result.",https://arxiv.org/abs/2403.00902
B,Random matrix theory & moments,2509.20335,2025-09-24,A survey of moment bounds for $ζ(s)$: from Heath Brown's work to the present,Alexandra Florea,,"Florea's survey synthesizes Heath-Brown's legacy and the current moment-bounds landscape, valuable field overview.",https://arxiv.org/abs/2509.20335
B,Random matrix theory & moments,2603.01711,2026-03-02,Lower bounds for the large deviations and moments of the Riemann zeta function on the critical line,Louis-Pierre Arguin; Nathan Creighton,,Arguin–Creighton give unconditional large-deviation/moment lower bounds on the critical line advancing the log-correlated program.,https://arxiv.org/abs/2603.01711
B,Random matrix theory & moments,2606.27323,2026-06-25,Amplified moments of the Riemann zeta function,Benjamin Durkan; Timothy Page,,"Amplified moments yield unconditional sixth-moment lower bounds matching Keating–Snaith predictions, a strong new advance.",https://arxiv.org/abs/2606.27323
B,Random matrix theory & moments,2211.11671,2022-11-21,Currently there are no reasons to doubt the Riemann Hypothesis: The zeta function beyond the realm of computation,David W. Farmer,,"Farmer's widely-discussed rebuttal of RH-doubting arguments, blending RMT evidence, shapes community consensus.",https://arxiv.org/abs/2211.11671
B,Random matrix theory & moments,2508.01458,2025-08-02,Bulk asymptotics of the Gaussian $β$-ensemble characteristic polynomial,Gaultier Lambert; Elliot Paquette,,Lambert–Paquette's rigorous bulk asymptotics of Gβε characteristic polynomials deepen the RMT-zeta analogy foundations.,https://arxiv.org/abs/2508.01458
C,Log-correlated fields / extreme values,2307.00982,2023-07-03,The Fyodorov-Hiary-Keating Conjecture. II,Louis-Pierre Arguin; Paul Bourgade; Maksym Radziwiłł,,"Completes the FHK conjecture lower bound, establishing tightness of zeta's maximum on short intervals—a landmark result in the field.",https://arxiv.org/abs/2307.00982
C,Log-correlated fields / extreme values,2103.04817,2021-03-08,Maxima of a Random Model of the Riemann Zeta Function over Intervals of Varying Length,Louis-Pierre Arguin; Guillaume Dubach; Lisa Hartung,,"Introduces the foundational random model interpolating log-correlated and IID extreme-value regimes, seeding much subsequent work.",https://arxiv.org/abs/2103.04817
C,Log-correlated fields / extreme values,2405.06474,2024-05-10,The Fyodorov--Hiary--Keating Conjecture on Mesoscopic Intervals,Louis-Pierre Arguin; Jad Hamdan,,"Extends FHK-type sharp bounds to mesoscopic intervals, advancing the program beyond the original fixed-length regime.",https://arxiv.org/abs/2405.06474
C,Log-correlated fields / extreme values,2106.15141,2021-06-29,Maxima of log-correlated fields: some recent developments,E. C. Bailey; J. P. Keating,,Authoritative survey synthesizing log-correlated field theory and its connections to zeta/L-function extreme values.,https://arxiv.org/abs/2106.15141
C,Log-correlated fields / extreme values,2202.06799,2022-02-14,Large Deviation Estimates of Selberg's Central Limit Theorem and Applications,Louis-Pierre Arguin; Emma Bailey,,"Sharp unconditional large-deviation bound for Selberg's CLT, improving Soundararajan/Harper and feeding into maximum estimates.",https://arxiv.org/abs/2202.06799
C,Log-correlated fields / extreme values,2301.10634,2023-01-25,Freezing transition and moments of moments of the Riemann zeta function,Michael J. Curran,,"Establishes the freezing transition for moments of moments of zeta, confirming Fyodorov-Keating predictions rigorously.",https://arxiv.org/abs/2301.10634
C,Log-correlated fields / extreme values,2108.07264,2021-08-16,A model problem for multiplicative chaos in number theory,Kannan Soundararajan; Asif Zaman,"Enseign. Math. 68 (2022), no. 3, 307-340","Soundararajan-Zaman model problem links random multiplicative functions to multiplicative chaos, clarifying the probabilistic mechanism behind FHK-type phenomena.",https://arxiv.org/abs/2108.07264
C,Log-correlated fields / extreme values,2302.08285,2023-02-16,A dichotomy for extreme values of zeta and Dirichlet L-functions,Andriy Bondarenko; Pranendu Darbar; Markus Valås Hagen; Winston Heap; Kristian Seip,"Bull. London Math. Soc. 55 (2023), 2963-2975","Establishes a dichotomy linking Dedekind zeta large values to improved zeta maxima bounds, connecting distinct extreme-value programs.",https://arxiv.org/abs/2302.08285
C,Log-correlated fields / extreme values,2506.16115,2025-06-19,Dirichlet $L$-functions on the critical line and multiplicative chaos,Sami Vihko,,"Proves convergence of random Dirichlet L-functions to Gaussian multiplicative chaos, extending the log-correlated framework beyond zeta itself.",https://arxiv.org/abs/2506.16115
D,Positivity & explicit-formula criteria,2602.20313,2026-02-23,On the Pólya Frequency Order of the de Bruijn Newman Kernel. Certified Failure at Order Five and the Toeplitz Threshold Phenomenon,Wojciech Michałowski,,"Rigorous computational disproof that the de Bruijn–Newman kernel is PF5, refining structural understanding of the Λ constant program.",https://arxiv.org/abs/2602.20313
D,Positivity & explicit-formula criteria,2509.18963,2025-09-23,Note on the positivity of the real part of the log-derivative of the Riemann $ξ$-function near the critical line,Andrius Grigutis; Lukas Turčinskas,,"Establishes explicit positivity bounds for the log-derivative of ξ near the critical line, refining zero-free region heuristics.",https://arxiv.org/abs/2509.18963
D,Positivity & explicit-formula criteria,2409.17708,2024-09-26,Equivalent criteria for the Riemann hypothesis for a general class of $L$-functions,Meghali Garg; Bibekananda Maji,,"Extends Riesz/Hardy-Littlewood-type equivalent criteria for RH to a general class of L-functions, broadening the positivity-criterion framework.",https://arxiv.org/abs/2409.17708
D,Positivity & explicit-formula criteria,2312.00108,2023-11-30,An explicit formula for the zeros of the Riemann zeta function,Eugenio P Balanzario; Daniel Eduardo Cardenas Romero,,"Gives an explicit Hermite-weighted formula linking zeta zeros directly to primes, a genuine explicit-formula advance.",https://arxiv.org/abs/2312.00108
D,Positivity & explicit-formula criteria,2311.04347,2023-11-07,A smooth version of Landaus explicit formula,Eugenio P. Balanzario; Daniel Eduardo Cardenas Romero; Richar Chacon Serna,,Produces a smoothed Landau explicit formula and links zero-location resolution to prime detection via an uncertainty-principle argument.,https://arxiv.org/abs/2311.04347
